# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde dagreeksen <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# SOURCE: ROYAL NETHERLANDS METEOROLOGICAL INSTITUTE (KNMI)
# Comment: These time series are inhomogeneous because of station relocations and changes in observation techniques. As a result these series are not suitable for trend analysis. For climate change studies we refer to the homogenized series of daily data <http://www.knmi.nl/nederland-nu/klimatologie/daggegevens> or the Central Netherlands Temperature <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# STN         LON(east)   LAT(north)  ALT(m)      NAME
# 344         4.447       51.962      -4.30       Rotterdam   
# YYYYMMDD  : datum (YYYY=jaar;MM=maand;DD=dag)
# HH        : tijd (HH=uur; UT.12 UT=13 MET; 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT
# T         : Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming / Temperature (in 0.1 degrees Celsius) at 1.50 m at the time of observation
# STN,YYYYMMDD,HH,    T
  344,20190104,   22,   65
  344,20190104,   23,   63
  344,20190104,   24,   64
  344,20190105,    1,   67
  344,20190105,    2,   75
  344,20190105,    3,   74
  344,20190105,    4,   75
  344,20190105,    5,   75
  344,20190105,    6,   74
  344,20190105,    7,   75
  344,20190105,    8,   75
  344,20190105,    9,   75
  344,20190105,   10,   75
  344,20190105,   11,   73
  344,20190105,   12,   72
  344,20190105,   13,   70
  344,20190105,   14,   73
  344,20190105,   15,   73
  344,20190105,   16,   70
  344,20190105,   17,   69
  344,20190105,   18,   66
  344,20190105,   19,   67
  344,20190105,   20,   66
  344,20190105,   21,   64
  344,20190105,   22,   60
  344,20190105,   23,   58
  344,20190105,   24,   58
  344,20190106,    1,   63
  344,20190106,    2,   63
  344,20190106,    3,   61
  344,20190106,    4,   60
  344,20190106,    5,   61
  344,20190106,    6,   63
  344,20190106,    7,   62
  344,20190106,    8,   61
  344,20190106,    9,   59
  344,20190106,   10,   63
  344,20190106,   11,   65
  344,20190106,   12,   65
  344,20190106,   13,   64
  344,20190106,   14,   63
  344,20190106,   15,   62
  344,20190106,   16,   55
  344,20190106,   17,   57
  344,20190106,   18,   59
  344,20190106,   19,   54
  344,20190106,   20,   56
  344,20190106,   21,   52
  344,20190106,   22,   52
  344,20190106,   23,   57
  344,20190106,   24,   48
  344,20190107,    1,   29
  344,20190107,    2,   25
  344,20190107,    3,   38
  344,20190107,    4,   54
  344,20190107,    5,   61
  344,20190107,    6,   66
  344,20190107,    7,   71
  344,20190107,    8,   75
  344,20190107,    9,   81
  344,20190107,   10,   85
  344,20190107,   11,   86
  344,20190107,   12,   88
  344,20190107,   13,   87
  344,20190107,   14,   85
  344,20190107,   15,   82
  344,20190107,   16,   80
  344,20190107,   17,   83
  344,20190107,   18,   87
  344,20190107,   19,   92
  344,20190107,   20,   91
  344,20190107,   21,   94
  344,20190107,   22,  102
  344,20190107,   23,   84
  344,20190107,   24,   78
  344,20190108,    1,   76
  344,20190108,    2,   75
  344,20190108,    3,   74
  344,20190108,    4,   73
  344,20190108,    5,   77
  344,20190108,    6,   80
  344,20190108,    7,   73
  344,20190108,    8,   73
  344,20190108,    9,   78
  344,20190108,   10,   78
  344,20190108,   11,   82
  344,20190108,   12,   83
  344,20190108,   13,   81
  344,20190108,   14,   81
  344,20190108,   15,   74
  344,20190108,   16,   67
  344,20190108,   17,   63
  344,20190108,   18,   70
  344,20190108,   19,   68
  344,20190108,   20,   63
  344,20190108,   21,   66
  344,20190108,   22,   56
  344,20190108,   23,   57
  344,20190108,   24,   45
  344,20190109,    1,   49
  344,20190109,    2,   49
  344,20190109,    3,   47
  344,20190109,    4,   54
  344,20190109,    5,   52
  344,20190109,    6,   49
  344,20190109,    7,   43
  344,20190109,    8,   54
  344,20190109,    9,   44
  344,20190109,   10,   60
  344,20190109,   11,   62
  344,20190109,   12,   68
  344,20190109,   13,   70
  344,20190109,   14,   68
  344,20190109,   15,   60
  344,20190109,   16,   51
  344,20190109,   17,   49
  344,20190109,   18,   44
  344,20190109,   19,   42
  344,20190109,   20,   39
  344,20190109,   21,   38
  344,20190109,   22,   25
  344,20190109,   23,    9
  344,20190109,   24,    6
  344,20190110,    1,    7
  344,20190110,    2,   -9
  344,20190110,    3,   -3
  344,20190110,    4,    2
  344,20190110,    5,    1
  344,20190110,    6,    7
  344,20190110,    7,   21
  344,20190110,    8,   17
  344,20190110,    9,   24
  344,20190110,   10,   31
  344,20190110,   11,   45
  344,20190110,   12,   49
  344,20190110,   13,   54
  344,20190110,   14,   56
  344,20190110,   15,   51
  344,20190110,   16,   47
  344,20190110,   17,   45
  344,20190110,   18,   40
  344,20190110,   19,   39
  344,20190110,   20,   40
  344,20190110,   21,   41
  344,20190110,   22,   43
  344,20190110,   23,   49
  344,20190110,   24,   53
  344,20190111,    1,   56
  344,20190111,    2,   61
  344,20190111,    3,   63
  344,20190111,    4,   74
  344,20190111,    5,   75
  344,20190111,    6,   73
  344,20190111,    7,   77
  344,20190111,    8,   76
  344,20190111,    9,   78
  344,20190111,   10,   80
  344,20190111,   11,   84
  344,20190111,   12,   84
  344,20190111,   13,   87
  344,20190111,   14,   84
  344,20190111,   15,   78
  344,20190111,   16,   79
  344,20190111,   17,   77
  344,20190111,   18,   73
  344,20190111,   19,   72
  344,20190111,   20,   71
  344,20190111,   21,   68
  344,20190111,   22,   53
  344,20190111,   23,   65
  344,20190111,   24,   65
  344,20190112,    1,   72
  344,20190112,    2,   71
  344,20190112,    3,   70
  344,20190112,    4,   70
  344,20190112,    5,   69
  344,20190112,    6,   74
  344,20190112,    7,   74
  344,20190112,    8,   76
  344,20190112,    9,   80
  344,20190112,   10,   75
  344,20190112,   11,   77
  344,20190112,   12,   84
  344,20190112,   13,   84
  344,20190112,   14,   86
  344,20190112,   15,   85
  344,20190112,   16,   82
  344,20190112,   17,   81
  344,20190112,   18,   82
  344,20190112,   19,   84
  344,20190112,   20,   83
  344,20190112,   21,   83
  344,20190112,   22,   82
  344,20190112,   23,   78
  344,20190112,   24,   81
  344,20190113,    1,   82
  344,20190113,    2,   83
  344,20190113,    3,   86
  344,20190113,    4,   90
  344,20190113,    5,   92
  344,20190113,    6,   96
  344,20190113,    7,   96
  344,20190113,    8,   95
  344,20190113,    9,   95
  344,20190113,   10,   95
  344,20190113,   11,   96
  344,20190113,   12,   98
  344,20190113,   13,   97
  344,20190113,   14,   97
  344,20190113,   15,   97
  344,20190113,   16,   96
  344,20190113,   17,   99
  344,20190113,   18,   93
  344,20190113,   19,   90
  344,20190113,   20,   85
  344,20190113,   21,   81
  344,20190113,   22,   80
  344,20190113,   23,   78
  344,20190113,   24,   74
  344,20190114,    1,   78
  344,20190114,    2,   75
  344,20190114,    3,   75
  344,20190114,    4,   76
  344,20190114,    5,   68
  344,20190114,    6,   67
  344,20190114,    7,   68
  344,20190114,    8,   50
  344,20190114,    9,   62
  344,20190114,   10,   67
  344,20190114,   11,   65
  344,20190114,   12,   75
  344,20190114,   13,   65
  344,20190114,   14,   62
  344,20190114,   15,   56
  344,20190114,   16,   45
  344,20190114,   17,   41
  344,20190114,   18,   46
  344,20190114,   19,   23
  344,20190114,   20,   26
  344,20190114,   21,   23
  344,20190114,   22,    9
  344,20190114,   23,    8
  344,20190114,   24,    5
  344,20190115,    1,   10
  344,20190115,    2,   27
  344,20190115,    3,   44
  344,20190115,    4,   54
  344,20190115,    5,   53
  344,20190115,    6,   56
  344,20190115,    7,   65
  344,20190115,    8,   67
  344,20190115,    9,   70
  344,20190115,   10,   73
  344,20190115,   11,   77
  344,20190115,   12,   77
  344,20190115,   13,   79
  344,20190115,   14,   83
  344,20190115,   15,   81
  344,20190115,   16,   80
  344,20190115,   17,   80
  344,20190115,   18,   79
  344,20190115,   19,   79
  344,20190115,   20,   80
  344,20190115,   21,   80
  344,20190115,   22,   81
  344,20190115,   23,   81
  344,20190115,   24,   83
  344,20190116,    1,   82
  344,20190116,    2,   81
  344,20190116,    3,   77
  344,20190116,    4,   75
  344,20190116,    5,   72
  344,20190116,    6,   67
  344,20190116,    7,   65
  344,20190116,    8,   64
  344,20190116,    9,   61
  344,20190116,   10,   66
  344,20190116,   11,   63
  344,20190116,   12,   64
  344,20190116,   13,   62
  344,20190116,   14,   60
  344,20190116,   15,   59
  344,20190116,   16,   59
  344,20190116,   17,   58
  344,20190116,   18,   54
  344,20190116,   19,   54
  344,20190116,   20,   56
  344,20190116,   21,   59
  344,20190116,   22,   48
  344,20190116,   23,   45
  344,20190116,   24,   49
  344,20190117,    1,   53
  344,20190117,    2,   56
  344,20190117,    3,   46
  344,20190117,    4,   40
  344,20190117,    5,   45
  344,20190117,    6,   47
  344,20190117,    7,   46
  344,20190117,    8,   34
  344,20190117,    9,   39
  344,20190117,   10,   44
  344,20190117,   11,   49
  344,20190117,   12,   47
  344,20190117,   13,   45
  344,20190117,   14,   36
  344,20190117,   15,   21
  344,20190117,   16,   20
  344,20190117,   17,   30
  344,20190117,   18,   19
  344,20190117,   19,   24
  344,20190117,   20,   35
  344,20190117,   21,   12
  344,20190117,   22,   27
  344,20190117,   23,   10
  344,20190117,   24,   -3
  344,20190118,    1,  -12
  344,20190118,    2,  -24
  344,20190118,    3,  -17
  344,20190118,    4,  -18
  344,20190118,    5,  -23
  344,20190118,    6,  -23
  344,20190118,    7,  -28
  344,20190118,    8,  -25
  344,20190118,    9,    5
  344,20190118,   10,   26
  344,20190118,   11,   39
  344,20190118,   12,   38
  344,20190118,   13,   40
  344,20190118,   14,   42
  344,20190118,   15,   38
  344,20190118,   16,   25
  344,20190118,   17,   17
  344,20190118,   18,   11
  344,20190118,   19,   -1
  344,20190118,   20,   -9
  344,20190118,   21,  -15
  344,20190118,   22,   -5
  344,20190118,   23,   -4
  344,20190118,   24,   -3
  344,20190119,    1,   -6
  344,20190119,    2,   -8
  344,20190119,    3,  -11
  344,20190119,    4,  -11
  344,20190119,    5,  -13
  344,20190119,    6,  -12
  344,20190119,    7,  -13
  344,20190119,    8,  -18
  344,20190119,    9,   -8
  344,20190119,   10,    7
  344,20190119,   11,   19
  344,20190119,   12,   27
  344,20190119,   13,   31
  344,20190119,   14,   27
  344,20190119,   15,   21
  344,20190119,   16,   11
  344,20190119,   17,    8
  344,20190119,   18,    2
  344,20190119,   19,   -9
  344,20190119,   20,  -12
  344,20190119,   21,  -10
  344,20190119,   22,  -14
  344,20190119,   23,  -19
  344,20190119,   24,  -25
  344,20190120,    1,  -27
  344,20190120,    2,  -30
  344,20190120,    3,  -34
  344,20190120,    4,  -35
  344,20190120,    5,  -61
  344,20190120,    6,  -55
  344,20190120,    7,  -53
  344,20190120,    8,  -57
  344,20190120,    9,  -27
  344,20190120,   10,  -12
  344,20190120,   11,    4
  344,20190120,   12,   15
  344,20190120,   13,   19
  344,20190120,   14,   22
  344,20190120,   15,   12
  344,20190120,   16,    6
  344,20190120,   17,  -14
  344,20190120,   18,  -23
  344,20190120,   19,  -28
  344,20190120,   20,  -32
  344,20190120,   21,  -31
  344,20190120,   22,  -49
  344,20190120,   23,  -55
  344,20190120,   24,  -61
  344,20190121,    1,  -58
  344,20190121,    2,  -71
  344,20190121,    3,  -59
  344,20190121,    4,  -65
  344,20190121,    5,  -68
  344,20190121,    6,  -63
  344,20190121,    7,  -58
  344,20190121,    8,  -54
  344,20190121,    9,  -29
  344,20190121,   10,   18
  344,20190121,   11,   38
  344,20190121,   12,   50
  344,20190121,   13,   47
  344,20190121,   14,   48
  344,20190121,   15,   45
  344,20190121,   16,   18
  344,20190121,   17,    8
  344,20190121,   18,   10
  344,20190121,   19,    7
  344,20190121,   20,   10
  344,20190121,   21,    7
  344,20190121,   22,    1
  344,20190121,   23,   -4
  344,20190121,   24,   -8
  344,20190122,    1,   -9
  344,20190122,    2,  -13
  344,20190122,    3,  -16
  344,20190122,    4,  -16
  344,20190122,    5,  -16
  344,20190122,    6,  -14
  344,20190122,    7,  -12
  344,20190122,    8,  -12
  344,20190122,    9,  -14
  344,20190122,   10,  -12
  344,20190122,   11,  -10
  344,20190122,   12,   -7
  344,20190122,   13,   -6
  344,20190122,   14,    0
  344,20190122,   15,    3
  344,20190122,   16,    5
  344,20190122,   17,    6
  344,20190122,   18,    6
  344,20190122,   19,    4
  344,20190122,   20,    1
  344,20190122,   21,   -1
  344,20190122,   22,    0
  344,20190122,   23,   -2
  344,20190122,   24,   -3
  344,20190123,    1,   -2
  344,20190123,    2,   -5
  344,20190123,    3,   -3
  344,20190123,    4,   -4
  344,20190123,    5,   -3
  344,20190123,    6,   -5
  344,20190123,    7,  -15
  344,20190123,    8,  -24
  344,20190123,    9,  -24
  344,20190123,   10,  -14
  344,20190123,   11,  -10
  344,20190123,   12,   -1
  344,20190123,   13,   -1
  344,20190123,   14,   -4
  344,20190123,   15,   -5
  344,20190123,   16,   -7
  344,20190123,   17,   -7
  344,20190123,   18,   -4
  344,20190123,   19,   -2
  344,20190123,   20,   -1
  344,20190123,   21,   -2
  344,20190123,   22,   -7
  344,20190123,   23,   -7
  344,20190123,   24,   -4
  344,20190124,    1,   -3
  344,20190124,    2,   -8
  344,20190124,    3,   -9
  344,20190124,    4,   -9
  344,20190124,    5,   -7
  344,20190124,    6,   -8
  344,20190124,    7,   -4
  344,20190124,    8,   -1
  344,20190124,    9,    1
  344,20190124,   10,    2
  344,20190124,   11,    7
  344,20190124,   12,   13
  344,20190124,   13,   14
  344,20190124,   14,   10
  344,20190124,   15,   11
  344,20190124,   16,   12
  344,20190124,   17,    7
  344,20190124,   18,  -11
  344,20190124,   19,    5
  344,20190124,   20,    1
  344,20190124,   21,   -4
  344,20190124,   22,   -2
  344,20190124,   23,   -3
  344,20190124,   24,   -5
  344,20190125,    1,   -5
  344,20190125,    2,   -5
  344,20190125,    3,   -6
  344,20190125,    4,   -8
  344,20190125,    5,   -9
  344,20190125,    6,   -8
  344,20190125,    7,   -1
  344,20190125,    8,   -4
  344,20190125,    9,   -7
  344,20190125,   10,    1
  344,20190125,   11,    8
  344,20190125,   12,   15
  344,20190125,   13,   22
  344,20190125,   14,   25
  344,20190125,   15,   30
  344,20190125,   16,   32
  344,20190125,   17,   36
  344,20190125,   18,   50
  344,20190125,   19,   64
  344,20190125,   20,   74
  344,20190125,   21,   84
  344,20190125,   22,   82
  344,20190125,   23,   78
  344,20190125,   24,   80
  344,20190126,    1,   79
  344,20190126,    2,   71
  344,20190126,    3,   70
  344,20190126,    4,   77
  344,20190126,    5,   75
  344,20190126,    6,   78
  344,20190126,    7,   75
  344,20190126,    8,   72
  344,20190126,    9,   74
  344,20190126,   10,   78
  344,20190126,   11,   75
  344,20190126,   12,   76
  344,20190126,   13,   77
  344,20190126,   14,   77
  344,20190126,   15,   75
  344,20190126,   16,   78
  344,20190126,   17,   79
  344,20190126,   18,   73
  344,20190126,   19,   78
  344,20190126,   20,   72
  344,20190126,   21,   72
  344,20190126,   22,   70
  344,20190126,   23,   70
  344,20190126,   24,   77
  344,20190127,    1,   76
  344,20190127,    2,   74
  344,20190127,    3,   73
  344,20190127,    4,   74
  344,20190127,    5,   72
  344,20190127,    6,   67
  344,20190127,    7,   67
  344,20190127,    8,   63
  344,20190127,    9,   63
  344,20190127,   10,   68
  344,20190127,   11,   60
  344,20190127,   12,   55
  344,20190127,   13,   56
  344,20190127,   14,   58
  344,20190127,   15,   45
  344,20190127,   16,   52
  344,20190127,   17,   53
  344,20190127,   18,   56
  344,20190127,   19,   55
  344,20190127,   20,   51
  344,20190127,   21,   43
  344,20190127,   22,   43
  344,20190127,   23,   40
  344,20190127,   24,   47
  344,20190128,    1,   54
  344,20190128,    2,   51
  344,20190128,    3,   46
  344,20190128,    4,   49
  344,20190128,    5,   46
  344,20190128,    6,   43
  344,20190128,    7,   43
  344,20190128,    8,   48
  344,20190128,    9,   50
  344,20190128,   10,   57
  344,20190128,   11,   59
  344,20190128,   12,   65
  344,20190128,   13,   48
  344,20190128,   14,   36
  344,20190128,   15,   39
  344,20190128,   16,   38
  344,20190128,   17,   35
  344,20190128,   18,   37
  344,20190128,   19,   36
  344,20190128,   20,   21
  344,20190128,   21,   27
  344,20190128,   22,   26
  344,20190128,   23,   13
  344,20190128,   24,    4
  344,20190129,    1,   17
  344,20190129,    2,    6
  344,20190129,    3,    8
  344,20190129,    4,   -4
  344,20190129,    5,   -6
  344,20190129,    6,   21
  344,20190129,    7,   18
  344,20190129,    8,   15
  344,20190129,    9,   14
  344,20190129,   10,   18
  344,20190129,   11,   29
  344,20190129,   12,   34
  344,20190129,   13,   39
  344,20190129,   14,   38
  344,20190129,   15,   36
  344,20190129,   16,   32
  344,20190129,   17,   32
  344,20190129,   18,   31
  344,20190129,   19,   28
  344,20190129,   20,   20
  344,20190129,   21,   18
  344,20190129,   22,   15
  344,20190129,   23,   11
  344,20190129,   24,   10
  344,20190130,    1,    7
  344,20190130,    2,    5
  344,20190130,    3,    5
  344,20190130,    4,    0
  344,20190130,    5,    3
  344,20190130,    6,    2
  344,20190130,    7,    2
  344,20190130,    8,    4
  344,20190130,    9,    3
  344,20190130,   10,    9
  344,20190130,   11,   10
  344,20190130,   12,    9
  344,20190130,   13,   13
  344,20190130,   14,   17
  344,20190130,   15,   14
  344,20190130,   16,   11
  344,20190130,   17,   10
  344,20190130,   18,   12
  344,20190130,   19,   16
  344,20190130,   20,   15
  344,20190130,   21,    8
  344,20190130,   22,    4
  344,20190130,   23,  -18
  344,20190130,   24,  -14
  344,20190131,    1,  -13
  344,20190131,    2,   -4
  344,20190131,    3,    3
  344,20190131,    4,   -9
  344,20190131,    5,  -19
  344,20190131,    6,  -11
  344,20190131,    7,    0
  344,20190131,    8,    5
  344,20190131,    9,   -7
  344,20190131,   10,   -5
  344,20190131,   11,   -7
  344,20190131,   12,   -5
  344,20190131,   13,   -5
  344,20190131,   14,   -5
  344,20190131,   15,   -6
  344,20190131,   16,   -9
  344,20190131,   17,  -12
  344,20190131,   18,  -15
  344,20190131,   19,  -13
  344,20190131,   20,  -14
  344,20190131,   21,  -11
  344,20190131,   22,   -9
  344,20190131,   23,   -8
  344,20190131,   24,   -5
  344,20190201,    1,   -3
  344,20190201,    2,    2
  344,20190201,    3,    2
  344,20190201,    4,   -3
  344,20190201,    5,   -4
  344,20190201,    6,   -3
  344,20190201,    7,   -1
  344,20190201,    8,    0
  344,20190201,    9,    1
  344,20190201,   10,    4
  344,20190201,   11,    8
  344,20190201,   12,   14
  344,20190201,   13,   19
  344,20190201,   14,   21
  344,20190201,   15,   25
  344,20190201,   16,   27
  344,20190201,   17,   20
  344,20190201,   18,   22
  344,20190201,   19,   23
  344,20190201,   20,   23
  344,20190201,   21,   23
  344,20190201,   22,   22
  344,20190201,   23,   23
  344,20190201,   24,   21
  344,20190202,    1,   22
  344,20190202,    2,   23
  344,20190202,    3,   22
  344,20190202,    4,   22
  344,20190202,    5,   22
  344,20190202,    6,   23
  344,20190202,    7,   24
  344,20190202,    8,   24
  344,20190202,    9,   25
  344,20190202,   10,   31
  344,20190202,   11,   32
  344,20190202,   12,   34
  344,20190202,   13,   38
  344,20190202,   14,   38
  344,20190202,   15,   36
  344,20190202,   16,   37
  344,20190202,   17,   36
  344,20190202,   18,   33
  344,20190202,   19,   33
  344,20190202,   20,   31
  344,20190202,   21,   28
  344,20190202,   22,   25
  344,20190202,   23,   16
  344,20190202,   24,   10
  344,20190203,    1,   18
  344,20190203,    2,    2
  344,20190203,    3,   14
  344,20190203,    4,   -6
  344,20190203,    5,  -10
  344,20190203,    6,    0
  344,20190203,    7,  -15
  344,20190203,    8,  -13
  344,20190203,    9,   20
  344,20190203,   10,   42
  344,20190203,   11,   61
  344,20190203,   12,   50
  344,20190203,   13,   51
  344,20190203,   14,   59
  344,20190203,   15,   58
  344,20190203,   16,   44
  344,20190203,   17,   28
  344,20190203,   18,   16
  344,20190203,   19,   -2
  344,20190203,   20,    3
  344,20190203,   21,   12
  344,20190203,   22,   13
  344,20190203,   23,   10
  344,20190203,   24,   11
  344,20190204,    1,   13
  344,20190204,    2,   13
  344,20190204,    3,   13
  344,20190204,    4,   10
  344,20190204,    5,   13
  344,20190204,    6,   15
  344,20190204,    7,   21
  344,20190204,    8,   24
  344,20190204,    9,   28
  344,20190204,   10,   33
  344,20190204,   11,   36
  344,20190204,   12,   23
  344,20190204,   13,   17
  344,20190204,   14,   20
  344,20190204,   15,   24
  344,20190204,   16,   26
  344,20190204,   17,   28
  344,20190204,   18,   29
  344,20190204,   19,   31
  344,20190204,   20,   34
  344,20190204,   21,   35
  344,20190204,   22,   36
  344,20190204,   23,   38
  344,20190204,   24,   39
  344,20190205,    1,   40
  344,20190205,    2,   41
  344,20190205,    3,   41
  344,20190205,    4,   40
  344,20190205,    5,   37
  344,20190205,    6,   39
  344,20190205,    7,   39
  344,20190205,    8,   39
  344,20190205,    9,   41
  344,20190205,   10,   42
  344,20190205,   11,   48
  344,20190205,   12,   50
  344,20190205,   13,   49
  344,20190205,   14,   50
  344,20190205,   15,   53
  344,20190205,   16,   55
  344,20190205,   17,   54
  344,20190205,   18,   48
  344,20190205,   19,   42
  344,20190205,   20,   47
  344,20190205,   21,   46
  344,20190205,   22,   43
  344,20190205,   23,   40
  344,20190205,   24,   40
  344,20190206,    1,   45
  344,20190206,    2,   40
  344,20190206,    3,   37
  344,20190206,    4,   35
  344,20190206,    5,   34
  344,20190206,    6,   32
  344,20190206,    7,   34
  344,20190206,    8,   37
  344,20190206,    9,   41
  344,20190206,   10,   46
  344,20190206,   11,   51
  344,20190206,   12,   55
  344,20190206,   13,   58
  344,20190206,   14,   61
  344,20190206,   15,   61
  344,20190206,   16,   63
  344,20190206,   17,   64
  344,20190206,   18,   66
  344,20190206,   19,   67
  344,20190206,   20,   68
  344,20190206,   21,   70
  344,20190206,   22,   72
  344,20190206,   23,   75
  344,20190206,   24,   74
  344,20190207,    1,   75
  344,20190207,    2,   80
  344,20190207,    3,   88
  344,20190207,    4,   91
  344,20190207,    5,   91
  344,20190207,    6,   86
  344,20190207,    7,   77
  344,20190207,    8,   72
  344,20190207,    9,   71
  344,20190207,   10,   85
  344,20190207,   11,   86
  344,20190207,   12,   93
  344,20190207,   13,   91
  344,20190207,   14,   91
  344,20190207,   15,   85
  344,20190207,   16,   78
  344,20190207,   17,   70
  344,20190207,   18,   72
  344,20190207,   19,   67
  344,20190207,   20,   67
  344,20190207,   21,   64
  344,20190207,   22,   64
  344,20190207,   23,   61
  344,20190207,   24,   58
  344,20190208,    1,   60
  344,20190208,    2,   56
  344,20190208,    3,   60
  344,20190208,    4,   64
  344,20190208,    5,   63
  344,20190208,    6,   66
  344,20190208,    7,   67
  344,20190208,    8,   67
  344,20190208,    9,   72
  344,20190208,   10,   77
  344,20190208,   11,   83
  344,20190208,   12,   86
  344,20190208,   13,   92
  344,20190208,   14,   94
  344,20190208,   15,   95
  344,20190208,   16,   95
  344,20190208,   17,   97
  344,20190208,   18,   94
  344,20190208,   19,   94
  344,20190208,   20,   93
  344,20190208,   21,   92
  344,20190208,   22,   93
  344,20190208,   23,   88
  344,20190208,   24,   90
  344,20190209,    1,   90
  344,20190209,    2,   83
  344,20190209,    3,   81
  344,20190209,    4,   79
  344,20190209,    5,   76
  344,20190209,    6,   74
  344,20190209,    7,   72
  344,20190209,    8,   74
  344,20190209,    9,   83
  344,20190209,   10,   89
  344,20190209,   11,   95
  344,20190209,   12,   98
  344,20190209,   13,   91
  344,20190209,   14,   91
  344,20190209,   15,   89
  344,20190209,   16,   86
  344,20190209,   17,   86
  344,20190209,   18,   83
  344,20190209,   19,   86
  344,20190209,   20,   87
